id,invoiceId,dueDate,paymentTerms,paymentMethod,paidDate,paidAmount,status,netDays,discountPercentage,discountDays,discountDueDate,discountedTotal,bankAccountNumber,bic,accountName,createdAt,updatedAt
payment-32,invoice-32,,Immediate payment without discount. Any bank charges must be paid by the invoice recipient.,,,,pending,,,,,,DE29 1234 5678 9012 3456 78,,,2025-11-08T18:44:15.318Z,2025-11-08T18:44:15.318Z
payment-33,invoice-33,,Immediate payment without discount. Any bank charges must be paid by the invoice recipient.,,,,pending,,,,,,DE29 1234 5678 9012 3456 78,,,2025-11-08T18:44:15.319Z,2025-11-08T18:44:15.319Z
payment-34,invoice-34,,Immediate payment without discount. Any bank charges must be paid by the invoice recipient.,,,,pending,,,,,,DE29 1234 5678 9012 3456 78,,,2025-11-08T18:44:15.319Z,2025-11-08T18:44:15.319Z
payment-35,invoice-35,,Immediate payment without discount. Any bank charges must be paid by the invoice recipient.,,,,pending,,,,,,DE29 1234 5678 9012 3456 78,,,2025-11-08T18:44:15.319Z,2025-11-08T18:44:15.319Z
payment-36,invoice-36,,Immediate payment without discount. Any bank charges must be paid by the invoice recipient.,,,,pending,,,,,,DE29 1234 5678 9012 3456 78,,,2025-11-08T18:44:15.319Z,2025-11-08T18:44:15.319Z
payment-37,invoice-37,,Immediate payment without discount. Any bank charges must be paid by the invoice recipient.,,,,pending,,,,,,DE29 1234 5678 9012 3456 78,,,2025-11-08T18:44:15.319Z,2025-11-08T18:44:15.320Z
payment-38,invoice-38,,Immediate payment without discount. Any bank charges must be paid by the invoice recipient.,,,,pending,,,,,,DE29 1234 5678 9012 3456 78,,,2025-11-08T18:44:15.320Z,2025-11-08T18:44:15.320Z
payment-39,invoice-39,,Immediate payment without discount. Any bank charges must be paid by the invoice recipient.,,,,pending,,,,,,DE29 1234 5678 9012 3456 78,,,2025-11-08T18:44:15.320Z,2025-11-08T18:44:15.320Z
payment-40,invoice-40,,Immediate payment without discount. Any bank charges must be paid by the invoice recipient.,,,,pending,,,,,,DE29 1234 5678 9012 3456 78,,,2025-11-08T18:44:15.320Z,2025-11-08T18:44:15.320Z
payment-41,invoice-41,,Immediate payment without discount. Any bank charges must be paid by the invoice recipient.,,,,pending,,,,,,DE29 1234 5678 9012 3456 78,,,2025-11-08T18:44:15.320Z,2025-11-08T18:44:15.320Z
payment-42,invoice-42,,Immediate payment without discount. Any bank charges must be paid by the invoice recipient.,,,,pending,,,,,,DE29 1234 5678 9012 3456 78,,,2025-11-08T18:44:15.320Z,2025-11-08T18:44:15.320Z
payment-43,invoice-43,,Immediate payment without discount. Any bank charges must be paid by the invoice recipient.,,,,pending,,,,,,DE29 1234 5678 9012 3456 78,,,2025-11-08T18:44:15.320Z,2025-11-08T18:44:15.320Z
payment-44,invoice-44,,Immediate payment without discount. Any bank charges must be paid by the invoice recipient.,,,,pending,,,,,,DE29 1234 5678 9012 3456 78,,,2025-11-08T18:44:15.320Z,2025-11-08T18:44:15.320Z
payment-45,invoice-45,,Immediate payment without discount. Any bank charges must be paid by the invoice recipient.,,,,pending,,,,,,DE29 1234 5678 9012 3456 78,,,2025-11-08T18:44:15.320Z,2025-11-08T18:44:15.320Z
payment-46,invoice-46,,Immediate payment without discount. Any bank charges must be paid by the invoice recipient.,,,,pending,,,,,,DE29 1234 5678 9012 3456 78,,,2025-11-08T18:44:15.321Z,2025-11-08T18:44:15.321Z
payment-47,invoice-47,,Immediate payment without discount. Any bank charges must be paid by the invoice recipient.,,,,pending,,,,,,DE29 1234 5678 9012 3456 78,,,2025-11-08T18:44:15.321Z,2025-11-08T18:44:15.321Z
payment-48,invoice-48,,Immediate payment without discount. Any bank charges must be paid by the invoice recipient.,,,,pending,,,,,,DE29 1234 5678 9012 3456 78,,,2025-11-08T18:44:15.321Z,2025-11-08T18:44:15.321Z
payment-49,invoice-49,,Immediate payment without discount. Any bank charges must be paid by the invoice recipient.,,,,pending,,,,,,DE29 1234 5678 9012 3456 78,,,2025-11-08T18:44:15.321Z,2025-11-08T18:44:15.321Z
payment-50,invoice-50,,Immediate payment without discount. Any bank charges must be paid by the invoice recipient.,,,,pending,,,,,,DE29 1234 5678 9012 3456 78,,,2025-11-08T18:44:15.321Z,2025-11-08T18:44:15.321Z
